Date;Open;High;Low;Close;Volume;Adj;Close
2013-10-24;44.8;44.9;44.65;44.65;26000;44.65;
2013-10-23;44.95;45;44.6;44.6;41000;44.6;
2013-10-22;45;45.2;44.55;44.55;141000;44.55;
2013-10-21;44.9;45.15;44.85;44.9;41000;44.9;
2013-10-18;44.6;44.9;44.5;44.85;31000;44.85;
2013-10-17;44.6;45.3;44.6;44.65;55000;44.65;
2013-10-16;44.7;45.45;44.5;44.6;108000;44.6;
2013-10-15;44.6;45.35;44.6;44.7;68000;44.7;
2013-10-14;45.1;45.1;44.5;44.6;148000;44.6;
2013-10-11;45.2;45.55;45;45.05;63000;45.05;
2013-10-10;45;45;45;45;0;45;
2013-10-09;45.5;45.5;44.8;45;86000;45;
2013-10-08;45.5;45.85;45.2;45.3;105000;45.3;
2013-10-07;45.5;45.95;45.5;45.5;115000;45.5;
2013-10-04;45.8;45.85;45.45;45.5;61000;45.5;
2013-10-03;45.8;45.95;45.4;45.45;118000;45.45;
2013-10-02;45.85;46;45.3;45.35;72000;45.35;
2013-10-01;46;46.1;45.3;45.3;73000;45.3;
2013-09-30;46;46.15;45.9;46.1;25000;46.1;
2013-09-27;46.5;46.5;45.9;46;38000;46;
2013-09-26;46;46;45.9;45.9;58000;45.9;
2013-09-25;46;46;45.8;45.8;31000;45.8;
2013-09-24;46.5;46.5;46;46;20000;46;
2013-09-23;45.8;46.5;45.8;46.4;24000;46.4;
2013-09-20;46.05;46.05;46.05;46.05;0;46.05;
2013-09-18;45.6;46.8;45.6;46.05;49000;46.05;
2013-09-17;46.45;46.45;45.6;45.6;17000;45.6;
2013-09-16;45.9;46.2;45.9;46.2;8000;46.2;
2013-09-13;46.15;46.25;46;46.1;34000;46.1;
2013-09-12;45.7;46.1;45.7;46.05;23000;46.05;
2013-09-11;45.5;46;45.4;45.7;83000;45.7;
2013-09-10;45.5;46.6;45.3;46.4;105000;46.4;
2013-09-09;46;46.75;46;46.7;86000;46.7;
2013-09-06;46.4;46.5;46.05;46.15;68000;46.15;
2013-09-05;45.45;47;45.45;46.4;247000;46.4;
2013-09-04;45.45;45.8;45.4;45.4;63000;45.4;
2013-09-03;45.35;45.55;45.2;45.5;81000;45.5;
2013-09-02;45.6;45.6;45.35;45.35;6000;45.35;
2013-08-30;45.3;45.4;45.05;45.4;8000;45.4;
2013-08-29;45.3;45.3;45;45;9000;45;
2013-08-28;45.2;45.2;45;45;35000;45;
2013-08-27;45.7;46;45.2;45.2;16000;45.2;
2013-08-26;45.5;45.6;45.2;45.6;36000;45.6;
2013-08-23;45.5;45.5;45.4;45.5;51000;45.5;
2013-08-22;45.3;45.5;45.05;45.1;40000;45.1;
2013-08-21;45.3;45.3;45.3;45.3;0;45.3;
2013-08-20;45.7;45.75;45.2;45.3;64000;45.3;
2013-08-19;45.8;46;45.75;45.8;45000;45.8;
2013-08-16;45.8;46;45.7;45.8;32000;45.8;
2013-08-15;46;46;45.1;45.8;10000;45.8;
2013-08-14;46.3;46.4;46;46;16000;46;
2013-08-13;46.9;46.9;46.4;46.4;17000;46.4;
2013-08-12;46.2;46.2;46.2;46.2;9000;46.2;
